Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau global,Type d'environnement,Laboratoire
25198,3.90111,43.61222,"03° 54' 04.00'' Est, 43° 36' 44.00'' Nord",34172,223 Rue de la Vieille Poste,"Chez Mme BERTHE, au rez-de-chaussée, dans le salon",34000,MONTPELLIER,23/2/2012,En intérieur,FicheMesure25198.pdf,Oui,0.65,Lieu d'habitation,AEXPERTISE
25211,3.89694,43.59889,"03° 53' 49.00'' Est, 43° 35' 56.00'' Nord",34172,Place Georges Frêche,"Hôtel de Ville, Bâtiment principal, au rez-de-chaussée, dans le hall d'accueil, en face de l'entrée",34000,MONTPELLIER,24/2/2012,En intérieur,FicheMesure25211.pdf,Oui,0.76,Lieu d'habitation,AEXPERTISE
25369,3.86500,43.63333,"03° 51' 54.00'' Est, 43° 37' 60.00'' Nord",34172,Place Eugène Bataillon,"Université Montpellier II, bâtiment 15, au 4ème étage, dans la salle 1/15/4/25.0",34000,MONTPELLIER,7/3/2012,En intérieur,FicheMesure25369.pdf,Oui,0.00,Lieu d'habitation,AEXPERTISE
25646,3.67611,43.39472,"03° 40' 34.00'' Est, 43° 23' 41.00'' Nord",34301,Rue du Pasteur Lucien Benoît,"Maison d'Enfants ADPEP, au 1er étage, dans le bureau du Directeur",34200,SETE,15/5/2012,En intérieur,FicheMesure25646.pdf,Oui,0.36,Lieu d'habitation,AEXPERTISE
25816,3.28889,43.24722,"03° 17' 20.00'' Est, 43° 14' 50.00'' Nord",34324,47 Boulevard Roger Audoux,"Résidence Le Méridien, au 3ème étage, chez M. BERTHEAS, dans la chambre parent",34350,VALRAS-PLAGE,13/6/2012,En intérieur,FicheMesure25816.pdf,Oui,0.56,Lieu d'habitation,AEXPERTISE
26225,3.87167,43.59139,"03° 52' 18.00'' Est, 43° 35' 29.00'' Nord",34172,2 Rue de Montjuich,"Résidence Lemasson, au 4ème étage, appartement n°209, chez M. DIAZ, dans le salon",34000,MONTPELLIER,21/8/2012,En intérieur,FicheMesure26225.pdf,Oui,1.07,Lieu d'habitation,AEXPERTISE
26335,3.68917,43.40917,"03° 41' 21.00'' Est, 43° 24' 33.00'' Nord",34301,19 Rue Jean Moulin,"Ecole Maternelle Louis Blanc,dans le réfectoire ,face à la fenêtre située à proximité de la porte donnant accès à la cour",34200,SETE,20/1/2012,En intérieur,FicheMesure26335.pdf,Oui,0.00,Lieu d'habitation,APAVE Sudeurope (CETE) Tassin la Demi-Lune
26337,3.68861,43.40944,"03° 41' 19.00'' Est, 43° 24' 34.00'' Nord",34301,21bis Rue Jean Moulin,"Côté rue S.Allende,2eme étage,salle 2 (Paganini) devant la fenêtre",34200,SETE,20/1/2012,En intérieur,FicheMesure26337.pdf,Oui,0.39,Lieu d'habitation,APAVE Sudeurope (CETE) Tassin la Demi-Lune
26338,3.69111,43.40972,"03° 41' 28.00'' Est, 43° 24' 35.00'' Nord",34301,19 Rue Danton,"Gynmase A.NAKACHE,au 1er niveau à proximité du comptoir du bar",34200,SETE,20/1/2012,En intérieur,FicheMesure26338.pdf,Oui,0.00,Lieu d'habitation,APAVE Sudeurope (CETE) Tassin la Demi-Lune
100892,3.88528,43.60833,"03° 53' 07.00'' Est, 43° 36' 30.00'' Nord",34172,1 Rue des Pertuisanes,,34000,MONTPELLIER,21/1/2013,En intérieur,Rapport public SM121202-R.pdf,Oui,10.57,"Commerce (Centre commercial, ?",AEXPERTISE
